WMU,Animal,Tag Type,Season Start,Season End
119,Moose,Antlered and antlerless (General),Nov 1,Nov 30
124,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
124,Moose,Antlered and antlerless (General),Nov 1,Nov 30
148,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
148,Moose,Antlered and antlerless (General),Nov 1,Nov 30
150,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
150,Moose,Antlered and antlerless (General),Nov 1,Nov 30
151,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
151,Moose,Antlered and antlerless (General),Nov 1,Nov 30
152,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
152,Moose,Antlered and antlerless (General),Nov 1,Nov 30
156,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
156,Moose,Antlered and antlerless (General),Nov 1,Nov 30
158,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
158,Moose,Antlered and antlerless (General),Nov 1,Nov 30
160,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
160,Moose,Antlered and antlerless (General),Nov 1,Nov 30
162,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
162,Moose,Antlered and antlerless (General),Nov 1,Nov 30
163,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
163,Moose,Antlered and antlerless (General),Nov 1,Nov 30
164,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
164,Moose,Antlered and antlerless (General),Nov 1,Nov 30
166,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
166,Moose,Antlered and antlerless (General),Nov 1,Nov 30
102,Elk,Antlered and antlerless (General),Sep 1,Sep 30
102,Elk,Antlered and antlerless (General),Oct 1,Oct 24
102,Elk,Antlered and antlerless (General),Oct 25,Nov 16
102,Elk,Antlered and antlerless (General),Nov 17,Dec 31
104,Elk,Antlered and antlerless (General),Sep 1,Sep 30
104,Elk,Antlered and antlerless (General),Oct 1,Oct 24
104,Elk,Antlered and antlerless (General),Oct 25,Nov 16
104,Elk,Antlered and antlerless (General),Nov 17,Dec 31
108,Elk,Antlered and antlerless (General),Sep 1,Sep 30
108,Elk,Antlered and antlerless (General),Oct 1,Oct 24
108,Elk,Antlered and antlerless (General),Oct 25,Nov 16
108,Elk,Antlered and antlerless (General),Nov 17,Dec 31
124,Elk,Antlered and antlerless (General),Sep 1,Sep 30
124,Elk,Antlered and antlerless (General),Oct 1,Oct 24
124,Elk,Antlered and antlerless (General),Oct 25,Nov 16
124,Elk,Antlered and antlerless (General),Nov 17,Dec 31
124,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
124,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
128,Elk,Antlered and antlerless (General),Sep 1,Sep 30
128,Elk,Antlered and antlerless (General),Oct 1,Oct 24
128,Elk,Antlered and antlerless (General),Oct 25,Nov 16
128,Elk,Antlered and antlerless (General),Nov 17,Dec 31
128,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
128,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
142,Elk,Antlered and antlerless (General),Sep 1,Sep 30
142,Elk,Antlered and antlerless (General),Oct 1,Oct 24
142,Elk,Antlered and antlerless (General),Oct 25,Nov 16
142,Elk,Antlered and antlerless (General),Nov 17,Dec 31
142,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
142,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
144,Elk,Antlered and antlerless (General),Sep 1,Sep 30
144,Elk,Antlered and antlerless (General),Oct 1,Oct 24
144,Elk,Antlered and antlerless (General),Oct 25,Nov 16
144,Elk,Antlered and antlerless (General),Nov 17,Dec 31
144,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
144,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
148,Elk,Antlered and antlerless (General),Sep 1,Sep 30
148,Elk,Antlered and antlerless (General),Oct 1,Oct 24
148,Elk,Antlered and antlerless (General),Oct 25,Nov 16
148,Elk,Antlered and antlerless (General),Nov 17,Dec 31
148,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
148,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
150,Elk,Antlered and antlerless (General),Sep 1,Sep 30
150,Elk,Antlered and antlerless (General),Oct 1,Oct 24
150,Elk,Antlered and antlerless (General),Oct 25,Nov 16
150,Elk,Antlered and antlerless (General),Nov 17,Dec 31
150,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
150,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
116,Elk,Antlered and antlerless (General),Nov 1,Nov 10
116,Elk,Antlered and antlerless (General),Nov 11,Nov 20
116,Elk,Antlered and antlerless (General),Nov 21,Nov 30
118,Elk,Antlered and antlerless (General),Nov 1,Nov 10
118,Elk,Antlered and antlerless (General),Nov 11,Nov 20
118,Elk,Antlered and antlerless (General),Nov 21,Nov 30
119,Elk,Antlered and antlerless (General),Nov 1,Nov 10
119,Elk,Antlered and antlerless (General),Nov 11,Nov 20
119,Elk,Antlered and antlerless (General),Nov 21,Nov 30
624,Elk,Antlered and antlerless (General),Nov 1,Nov 10
624,Elk,Antlered and antlerless (General),Nov 11,Nov 20
624,Elk,Antlered and antlerless (General),Nov 21,Nov 30
116,Elk,Antlered and antlerless (General),Dec 1,Dec 31
116,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
116,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
118,Elk,Antlered and antlerless (General),Dec 1,Dec 31
118,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
118,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
119,Elk,Antlered and antlerless (General),Dec 1,Dec 31
119,Elk,Antlered and antlerless (General),Jan 1,"Jan 31, 2027"
119,Elk,Antlered and antlerless (General),Feb 1,"Feb 28, 2027"
116,Elk,Antlered and antlerless (Archery),Sep 1,Oct 31
118,Elk,Antlered and antlerless (Archery),Sep 1,Oct 31
119,Elk,Antlered and antlerless (Archery),Sep 1,Oct 31
110,Elk,Antlered (Archery),Sep 1,Oct 31
110,Elk,Antlered (General),Nov 1,Nov 30
132,Elk,Antlered (Archery),Sep 1,Oct 31
132,Elk,Antlered (General),Nov 1,Nov 30
136,Elk,Antlered (Archery),Sep 1,Oct 31
136,Elk,Antlered (General),Nov 1,Nov 30
138,Elk,Antlered (Archery),Sep 1,Oct 31
138,Elk,Antlered (General),Nov 1,Nov 30
151,Elk,Antlered (Archery),Sep 1,Oct 31
151,Elk,Antlered (General),Nov 1,Nov 30
152,Elk,Antlered (Archery),Sep 1,Oct 31
152,Elk,Antlered (General),Nov 1,Nov 30
156,Elk,Antlered (Archery),Sep 1,Oct 31
156,Elk,Antlered (General),Nov 1,Nov 30
158,Elk,Antlered (Archery),Sep 1,Oct 31
158,Elk,Antlered (General),Nov 1,Nov 30
160,Elk,Antlered (Archery),Sep 1,Oct 31
160,Elk,Antlered (General),Nov 1,Nov 30
162,Elk,Antlered (Archery),Sep 1,Oct 31
162,Elk,Antlered (General),Nov 1,Nov 30
163,Elk,Antlered (Archery),Sep 1,Oct 31
163,Elk,Antlered (General),Nov 1,Nov 30
164,Elk,Antlered (Archery),Sep 1,Oct 31
164,Elk,Antlered (General),Nov 1,Nov 30
166,Elk,Antlered (Archery),Sep 1,Oct 31
166,Elk,Antlered (General),Nov 1,Nov 30
102,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
102,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
104,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
104,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
108,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
108,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
106,Elk,Antlered (3-point or larger)1 and antlerless (Archery),Sep 1,Oct 31
112,Elk,Antlered (3-point or larger)1 and antlerless (Archery),Sep 1,Oct 31
130,Elk,Antlered (3-point or larger)1 and antlerless (Archery),Sep 1,Oct 31
134,Elk,Antlered (3-point or larger)1 and antlerless (Archery),Sep 1,Oct 31
140,Elk,Antlered (3-point or larger)1 and antlerless (Archery),Sep 1,Oct 31
151,Elk,Antlerless (Archery),Sep 1,Oct 31
151,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
152,Elk,Antlerless (Archery),Sep 1,Oct 31
152,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
156,Elk,Antlerless (Archery),Sep 1,Oct 31
156,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
158,Elk,Antlerless (Archery),Sep 1,Oct 31
158,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
160,Elk,Antlerless (Archery),Sep 1,Oct 31
160,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
110,Elk,Antlerless (Archery),Sep 1,Oct 31
110,Elk,Antlerless (General),Nov 1,Nov 30
110,Elk,Antlerless (General),Dec 1,Dec 31
110,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
110,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
132,Elk,Antlerless (Archery),Sep 1,Oct 31
