WMU,Animal,Tag Type,Season Start,Season End
226,Mule deer,Antlered (Archery),Sep 1,Oct 31
226,Mule deer,Antlered (General),Nov 1,Nov 30
242,Mule deer,Antlered (Archery),Sep 1,Oct 31
242,Mule deer,Antlered (General),Nov 1,Nov 30
206,Mule deer,Antlerless (Archery),Sep 1,Oct 31
206,Mule deer,Antlerless (General),Nov 1,Nov 30
208,Mule deer,Antlerless (Archery),Sep 1,Oct 31
208,Mule deer,Antlerless (General),Nov 1,Nov 30
210,Mule deer,Antlerless (Archery),Sep 1,Oct 31
210,Mule deer,Antlerless (General),Nov 1,Nov 30
214,Mule deer,Antlerless (Archery),Sep 1,Oct 31
214,Mule deer,Antlerless (General),Nov 1,Nov 30
216,Mule deer,Antlerless (Archery),Sep 1,Oct 31
216,Mule deer,Antlerless (General),Nov 1,Nov 30
220,Mule deer,Antlerless (Archery),Sep 1,Oct 31
220,Mule deer,Antlerless (General),Nov 1,Nov 30
221,Mule deer,Antlerless (Archery),Sep 1,Oct 31
221,Mule deer,Antlerless (General),Nov 1,Nov 30
222,Mule deer,Antlerless (Archery),Sep 1,Oct 31
222,Mule deer,Antlerless (General),Nov 1,Nov 30
224,Mule deer,Antlerless (Archery),Sep 1,Oct 31
224,Mule deer,Antlerless (General),Nov 1,Nov 30
226,Mule deer,Antlerless (Archery),Sep 1,Oct 31
226,Mule deer,Antlerless (General),Nov 1,Nov 30
242,Mule deer,Antlerless (Archery),Sep 1,Oct 31
242,Mule deer,Antlerless (General),Nov 1,Nov 30
200,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
200,Moose,Antlered and antlerless (General),Nov 1,Nov 30
202,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
202,Moose,Antlered and antlerless (General),Nov 1,Nov 30
203,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
203,Moose,Antlered and antlerless (General),Nov 1,Nov 30
204,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
204,Moose,Antlered and antlerless (General),Nov 1,Nov 30
206,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
206,Moose,Antlered and antlerless (General),Nov 1,Nov 30
208,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
208,Moose,Antlered and antlerless (General),Nov 1,Nov 30
210,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
210,Moose,Antlered and antlerless (General),Nov 1,Nov 30
214,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
214,Moose,Antlered and antlerless (General),Nov 1,Nov 30
216,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
216,Moose,Antlered and antlerless (General),Nov 1,Nov 30
220,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
220,Moose,Antlered and antlerless (General),Nov 1,Nov 30
221,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
221,Moose,Antlered and antlerless (General),Nov 1,Nov 30
222,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
222,Moose,Antlered and antlerless (General),Nov 1,Nov 30
224,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
224,Moose,Antlered and antlerless (General),Nov 1,Nov 30
226,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
226,Moose,Antlered and antlerless (General),Nov 1,Nov 30
228,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
228,Moose,Antlered and antlerless (General),Nov 1,Nov 30
230,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
230,Moose,Antlered and antlerless (General),Nov 1,Nov 30
232,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
232,Moose,Antlered and antlerless (General),Nov 1,Nov 30
234,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
234,Moose,Antlered and antlerless (General),Nov 1,Nov 30
236,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
236,Moose,Antlered and antlerless (General),Nov 1,Nov 30
238,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
238,Moose,Antlered and antlerless (General),Nov 1,Nov 30
240,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
240,Moose,Antlered and antlerless (General),Nov 1,Nov 30
242,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
242,Moose,Antlered and antlerless (General),Nov 1,Nov 30
244,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
244,Moose,Antlered and antlerless (General),Nov 1,Nov 30
246,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
246,Moose,Antlered and antlerless (General),Nov 1,Nov 30
250,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
250,Moose,Antlered and antlerless (General),Nov 1,Nov 30
252,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
252,Moose,Antlered and antlerless (General),Nov 1,Nov 30
254,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
254,Moose,Antlered and antlerless (General),Nov 1,Nov 30
256,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
256,Moose,Antlered and antlerless (General),Nov 1,Nov 30
258,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
258,Moose,Antlered and antlerless (General),Nov 1,Nov 30
260,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
260,Moose,Antlered and antlerless (General),Nov 1,Nov 30
212,Moose,Antlered and antlerless (Archery),Sep 1,Nov 30
247,Moose,Antlered and antlerless (Archery),Sep 1,Nov 30
9361,Moose,Antlered and antlerless (Archery),Oct 17,Oct 31
9361,Moose,Antlered and antlerless (General),Nov 1,Nov 23
248,Moose,Antlered and antlerless (Archery),Sep 1,Nov 30
248,Moose,Antlered and antlerless (General),Oct 25,Dec 72
212,Elk,Antlered and antlerless (Archery),Sep 1,Nov 30
247,Elk,Antlered and antlerless (Archery),Sep 1,Nov 30
248,Elk,Antlered and antlerless (Archery),Sep 1,Nov 30
9361,Elk,Antlered and antlerless (Archery),Oct 17,Oct 31
9361,Elk,Antlered and antlerless (General),Nov 1,Nov 23
214,Elk,Antlered (3-point or larger)3 (Archery),Sep 1,Oct 24
214,Elk,Antlered (3-point or larger)3 (General),Oct 25,Nov 30
216,Elk,Antlered (3-point or larger)3 (Archery),Sep 1,Oct 31
216,Elk,Antlered (3-point or larger)3 (General),Nov 1,Nov 30
221,Elk,Antlered (3-point or larger)3 (Archery),Sep 1,Oct 31
221,Elk,Antlered (3-point or larger)3 (General),Nov 1,Nov 30
224,Elk,Antlered (3-point or larger)3 (Archery),Sep 1,Oct 31
224,Elk,Antlered (3-point or larger)3 (General),Nov 1,Nov 30
200,Elk,Antlered (Archery),Sep 1,Oct 31
200,Elk,Antlered (General),Nov 1,Nov 30
202,Elk,Antlered (Archery),Sep 1,Oct 31
202,Elk,Antlered (General),Nov 1,Nov 30
203,Elk,Antlered (Archery),Sep 1,Oct 31
203,Elk,Antlered (General),Nov 1,Nov 30
232,Elk,Antlered (Archery),Sep 1,Oct 31
232,Elk,Antlered (General),Nov 1,Nov 30
234,Elk,Antlered (Archery),Sep 1,Oct 31
234,Elk,Antlered (General),Nov 1,Nov 30
204,Elk,Antlered (Archery),Sep 1,Oct 31
204,Elk,Antlered (General),Nov 1,Nov 30
228,Elk,Antlered (Archery),Sep 1,Oct 31
228,Elk,Antlered (General),Nov 1,Nov 30
230,Elk,Antlered (Archery),Sep 1,Oct 31
230,Elk,Antlered (General),Nov 1,Nov 30
206,Elk,Antlered (Archery),Sep 1,Oct 31
206,Elk,Antlered (General),Nov 1,Nov 30
222,Elk,Antlered (Archery),Sep 1,Oct 31
222,Elk,Antlered (General),Nov 1,Nov 30
226,Elk,Antlered (Archery),Sep 1,Oct 31
226,Elk,Antlered (General),Nov 1,Nov 30
244,Elk,Antlered (Archery),Sep 1,Oct 31
244,Elk,Antlered (General),Nov 1,Nov 30
246,Elk,Antlered (Archery),Sep 1,Oct 31
246,Elk,Antlered (General),Nov 1,Nov 30
208,Elk,Antlered (Archery),Sep 1,Oct 31
208,Elk,Antlered (General),Nov 1,Nov 30
210,Elk,Antlered (Archery),Sep 1,Oct 31
210,Elk,Antlered (General),Nov 1,Nov 30
220,Elk,Antlered (Archery),Sep 1,Oct 31
220,Elk,Antlered (General),Nov 1,Nov 30
236,Elk,Antlered (Archery),Sep 1,Oct 31
236,Elk,Antlered (General),Nov 1,Nov 30
238,Elk,Antlered (Archery),Sep 1,Oct 31
238,Elk,Antlered (General),Nov 1,Nov 30
256,Elk,Antlered (Archery),Sep 1,Oct 31
256,Elk,Antlered (General),Nov 1,Nov 30
240,Elk,Antlered (Archery),Sep 1,Oct 31
240,Elk,Antlered (General),Nov 1,Nov 30
242,Elk,Antlered (Archery),Sep 1,Oct 31
242,Elk,Antlered (General),Nov 1,Nov 30
250,Elk,Antlered (Archery),Sep 1,Oct 31
250,Elk,Antlered (General),Nov 1,Nov 30
252,Elk,Antlered (Archery),Sep 1,Oct 31
252,Elk,Antlered (General),Nov 1,Nov 30
254,Elk,Antlered (Archery),Sep 1,Oct 31
254,Elk,Antlered (General),Nov 1,Nov 30
258,Elk,Antlered (Archery),Sep 1,Oct 31
258,Elk,Antlered (General),Nov 1,Nov 30
260,Elk,Antlered (Archery),Sep 1,Oct 31
260,Elk,Antlered (General),Nov 1,Nov 30
200,Elk,Antlerless (Archery),Sep 1,Oct 31
200,Elk,Antlerless (General),Nov 1,Nov 30
200,Elk,Antlerless (General),Dec 1,Dec 31
200,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
200,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
202,Elk,Antlerless (Archery),Sep 1,Oct 31
202,Elk,Antlerless (General),Nov 1,Nov 30
202,Elk,Antlerless (General),Dec 1,Dec 31
202,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
202,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
203,Elk,Antlerless (Archery),Sep 1,Oct 31
203,Elk,Antlerless (General),Nov 1,Nov 30
203,Elk,Antlerless (General),Dec 1,Dec 31
203,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
203,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
232,Elk,Antlerless (Archery),Sep 1,Oct 31
232,Elk,Antlerless (General),Nov 1,Nov 30
232,Elk,Antlerless (General),Dec 1,Dec 31
232,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
232,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
234,Elk,Antlerless (Archery),Sep 1,Oct 31
234,Elk,Antlerless (General),Nov 1,Nov 30
234,Elk,Antlerless (General),Dec 1,Dec 31
234,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
234,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
240,Elk,Antlerless (Archery),Sep 1,Oct 31
240,Elk,Antlerless (General),Nov 1,Nov 30
240,Elk,Antlerless (General),Dec 1,Dec 31
240,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
240,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
242,Elk,Antlerless (Archery),Sep 1,Oct 31
242,Elk,Antlerless (General),Nov 1,Nov 30
242,Elk,Antlerless (General),Dec 1,Dec 31
242,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
242,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
204,Elk,Antlerless (Archery),Sep 1,Oct 31
204,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
228,Elk,Antlerless (Archery),Sep 1,Oct 31
228,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
230,Elk,Antlerless (Archery),Sep 1,Oct 31
230,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
206,Elk,Antlerless (Archery),Sep 1,Oct 31
206,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
222,Elk,Antlerless (Archery),Sep 1,Oct 31
222,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
226,Elk,Antlerless (Archery),Sep 1,Oct 31
226,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
244,Elk,Antlerless (Archery),Sep 1,Oct 31
244,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
246,Elk,Antlerless (Archery),Sep 1,Oct 31
246,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
208,Elk,Antlerless (Archery),Sep 1,Oct 31
208,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
210,Elk,Antlerless (Archery),Sep 1,Oct 31
210,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
220,Elk,Antlerless (Archery),Sep 1,Oct 31
220,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
236,Elk,Antlerless (Archery),Sep 1,Oct 31
236,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
238,Elk,Antlerless (Archery),Sep 1,Oct 31
238,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
256,Elk,Antlerless (Archery),Sep 1,Oct 31
256,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
252,Elk,Antlerless (Archery),Sep 1,Oct 31
252,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
254,Elk,Antlerless (Archery),Sep 1,Oct 31
254,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
258,Elk,Antlerless (Archery),Sep 1,Oct 31
258,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
260,Elk,Antlerless (Archery),Sep 1,Oct 31
260,Elk,Antlerless (General),Nov 1,"Jan 31, 2027"
224,Elk,Antlerless (Archery),Sep 1,Oct 31
224,Elk,Antlerless (General),Nov 1,Dec 20
250,Elk,Antlerless (Archery),Sep 1,Oct 31
250,Elk,Antlerless (General),Nov 1,Dec 20
250,Elk,Antlerless (General),Dec 21,"Jan 31, 2027"
250,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
214,Elk,Antlerless (Archery),Sep 1,Oct 24
214,Elk,Antlerless (General),Oct 25,Nov 20
214,Elk,Antlerless (General),Nov 21,Dec 31
214,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
214,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
216,Elk,Antlerless (Archery),Sep 1,Oct 31
216,Elk,Antlerless (General),Nov 1,Nov 25
216,Elk,Antlerless (General),Nov 26,Dec 31
216,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
216,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
221,Elk,Antlerless (Archery),Sep 1,Oct 31
221,Elk,Antlerless (General),Nov 1,Nov 25
221,Elk,Antlerless (General),Nov 26,Dec 31
221,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
221,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
2124,Elk,Antlerless (Archery),Sep 1,Nov 30
2124,Elk,Antlerless (General),Nov 1,N302
2124,Elk,Antlerless (General),Dec 1,Dec 31
2124,Elk,Antlerless (General),Jan 1,"Jan 31, 2027"
2124,Elk,Antlerless (General),Feb 1,"Feb 28, 2027"
310,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
310,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
312,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
312,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
314,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
314,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
316,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
316,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
318,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
318,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
320,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
320,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
322,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
322,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
324,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
324,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
332,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
332,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
334,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
334,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
336,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
336,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
337,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
337,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
338,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
338,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
348,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 31
348,White-tailed deer,Antlered and antlerless (General),Nov 1,Nov 30
300,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 24
300,White-tailed deer,Antlered and antlerless (General),Oct 25,Nov 30
302,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 24
302,White-tailed deer,Antlered and antlerless (General),Oct 25,Nov 30
303,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 24
303,White-tailed deer,Antlered and antlerless (General),Oct 25,Nov 30
304,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 24
304,White-tailed deer,Antlered and antlerless (General),Oct 25,Nov 30
305,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 24
305,White-tailed deer,Antlered and antlerless (General),Oct 25,Nov 30
306,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 24
306,White-tailed deer,Antlered and antlerless (General),Oct 25,Nov 30
308,White-tailed deer,Antlered and antlerless (Archery),Sep 1,Oct 24
308,White-tailed deer,Antlered and antlerless (General),Oct 25,Nov 30
326,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
326,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
328,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
328,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
330,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
330,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
339,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
339,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
340,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
340,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
342,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
342,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
344,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
344,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
346,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
346,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
347,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
347,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
349,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
349,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
350,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
350,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
351,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
351,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
352,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
352,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
353,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
353,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
354,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
354,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
355,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
355,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
356,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
356,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
357,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
357,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
358,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
358,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
359,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
359,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
360,White-tailed deer,Antlered and antlerless (Archery),Aug 25,Sep 16
360,White-tailed deer,Antlered and antlerless (General),Sep 17,Nov 30
310,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
310,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
312,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
312,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
334,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
334,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
336,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
336,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
348,Mule deer,Antlered and antlerless (Archery),Sep 1,Oct 31
348,Mule deer,Antlered and antlerless (General),Nov 1,Nov 30
352,Mule deer,Antlered (Archery),Aug 25,Sep 16
352,Mule deer,Antlered (General),Sep 17,Nov 30
353,Mule deer,Antlered (Archery),Aug 25,Sep 16
353,Mule deer,Antlered (General),Sep 17,Nov 30
355,Mule deer,Antlered (Archery),Aug 25,Sep 16
355,Mule deer,Antlered (General),Sep 17,Nov 30
316,Mule deer,Antlered (Archery),Sep 1,Oct 31
316,Mule deer,Antlered (General),Nov 1,Nov 30
326,Mule deer,Antlered (Archery),Aug 25,Sep 16
326,Mule deer,Antlered (General),Sep 17,Nov 30
328,Mule deer,Antlered (Archery),Aug 25,Sep 16
328,Mule deer,Antlered (General),Sep 17,Nov 30
330,Mule deer,Antlered (Archery),Aug 25,Sep 16
330,Mule deer,Antlered (General),Sep 17,Nov 30
347,Mule deer,Antlered (Archery),Aug 25,Sep 16
347,Mule deer,Antlered (General),Sep 17,Nov 30
349,Mule deer,Antlered (Archery),Aug 25,Sep 16
349,Mule deer,Antlered (General),Sep 17,Nov 30
350,Mule deer,Antlered (Archery),Aug 25,Sep 16
350,Mule deer,Antlered (General),Sep 17,Nov 30
351,Mule deer,Antlered (Archery),Aug 25,Sep 16
351,Mule deer,Antlered (General),Sep 17,Nov 30
354,Mule deer,Antlered (Archery),Aug 25,Sep 16
354,Mule deer,Antlered (General),Sep 17,Nov 30
356,Mule deer,Antlered (Archery),Aug 25,Sep 16
356,Mule deer,Antlered (General),Sep 17,Nov 30
314,Mule deer,Antlered (Archery),Sep 1,Oct 31
314,Mule deer,Antlered (General),Nov 1,Nov 30
318,Mule deer,Antlered (Archery),Sep 1,Oct 31
318,Mule deer,Antlered (General),Nov 1,Nov 30
320,Mule deer,Antlered (Archery),Sep 1,Oct 31
320,Mule deer,Antlered (General),Nov 1,Nov 30
322,Mule deer,Antlered (Archery),Sep 1,Oct 31
322,Mule deer,Antlered (General),Nov 1,Nov 30
324,Mule deer,Antlered (Archery),Sep 1,Oct 31
324,Mule deer,Antlered (General),Nov 1,Nov 30
332,Mule deer,Antlered (Archery),Sep 1,Oct 31
332,Mule deer,Antlered (General),Nov 1,Nov 30
337,Mule deer,Antlered (Archery),Sep 1,Oct 31
337,Mule deer,Antlered (General),Nov 1,Nov 30
338,Mule deer,Antlered (Archery),Sep 1,Oct 31
338,Mule deer,Antlered (General),Nov 1,Nov 30
339,Mule deer,Antlered (Archery),Aug 25,Sep 16
339,Mule deer,Antlered (General),Sep 17,Nov 30
340,Mule deer,Antlered (Archery),Aug 25,Sep 16
340,Mule deer,Antlered (General),Sep 17,Nov 30
342,Mule deer,Antlered (Archery),Aug 25,Sep 16
342,Mule deer,Antlered (General),Sep 17,Nov 30
344,Mule deer,Antlered (Archery),Aug 25,Sep 16
344,Mule deer,Antlered (General),Sep 17,Nov 30
346,Mule deer,Antlered (Archery),Aug 25,Sep 16
346,Mule deer,Antlered (General),Sep 17,Nov 30
357,Mule deer,Antlered (Archery),Aug 25,Sep 16
357,Mule deer,Antlered (General),Sep 17,Nov 30
358,Mule deer,Antlered (Archery),Aug 25,Sep 16
358,Mule deer,Antlered (General),Sep 17,Nov 30
359,Mule deer,Antlered (Archery),Aug 25,Sep 16
359,Mule deer,Antlered (General),Sep 17,Nov 30
360,Mule deer,Antlered (Archery),Aug 25,Sep 16
360,Mule deer,Antlered (General),Sep 17,Nov 30
300,Mule deer,Antlered (Archery),Sep 1,Oct 24
300,Mule deer,Antlered (General),Oct 25,Nov 30
302,Mule deer,Antlered (Archery),Sep 1,Oct 24
302,Mule deer,Antlered (General),Oct 25,Nov 30
303,Mule deer,Antlered (Archery),Sep 1,Oct 24
303,Mule deer,Antlered (General),Oct 25,Nov 30
304,Mule deer,Antlered (Archery),Sep 1,Oct 24
304,Mule deer,Antlered (General),Oct 25,Nov 30
305,Mule deer,Antlered (Archery),Sep 1,Oct 24
305,Mule deer,Antlered (General),Oct 25,Nov 30
306,Mule deer,Antlered (Archery),Sep 1,Oct 24
306,Mule deer,Antlered (General),Oct 25,Nov 30
308,Mule deer,Antlered (Archery),Sep 1,Oct 24
308,Mule deer,Antlered (General),Oct 25,Nov 30
357,Mule deer,Antlerless (Archery),Aug 25,Sep 16
357,Mule deer,Antlerless (General),Sep 17,Dec 20
359,Mule deer,Antlerless (Archery),Aug 25,Sep 16
359,Mule deer,Antlerless (General),Sep 17,Dec 20
360,Mule deer,Antlerless (Archery),Aug 25,Sep 16
360,Mule deer,Antlerless (General),Sep 17,Dec 20
314,Mule deer,Antlerless (Archery),Sep 1,Oct 31
314,Mule deer,Antlerless (General),Nov 1,Nov 30
320,Mule deer,Antlerless (Archery),Sep 1,Oct 31
320,Mule deer,Antlerless (General),Nov 1,Nov 30
322,Mule deer,Antlerless (Archery),Sep 1,Oct 31
322,Mule deer,Antlerless (General),Nov 1,Nov 30
332,Mule deer,Antlerless (Archery),Sep 1,Oct 31
332,Mule deer,Antlerless (General),Nov 1,Nov 30
300,Mule deer,Antlerless (Archery),Sep 1,Oct 24
300,Mule deer,Antlerless (General),Oct 25,Nov 30
302,Mule deer,Antlerless (Archery),Sep 1,Oct 24
302,Mule deer,Antlerless (General),Oct 25,Nov 30
303,Mule deer,Antlerless (Archery),Sep 1,Oct 24
303,Mule deer,Antlerless (General),Oct 25,Nov 30
304,Mule deer,Antlerless (Archery),Sep 1,Oct 24
304,Mule deer,Antlerless (General),Oct 25,Nov 30
305,Mule deer,Antlerless (Archery),Sep 1,Oct 24
305,Mule deer,Antlerless (General),Oct 25,Nov 30
306,Mule deer,Antlerless (Archery),Sep 1,Oct 24
306,Mule deer,Antlerless (General),Oct 25,Nov 30
308,Mule deer,Antlerless (Archery),Sep 1,Oct 24
308,Mule deer,Antlerless (General),Oct 25,Nov 30
358,Mule deer,Antlerless (Archery),Aug 25,Sep 16
358,Mule deer,Antlerless (General),Sep 17,Nov 30
310,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
310,Moose,Antlered and antlerless (General),Nov 1,Nov 30
312,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
312,Moose,Antlered and antlerless (General),Nov 1,Nov 30
314,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
314,Moose,Antlered and antlerless (General),Nov 1,Nov 30
316,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
316,Moose,Antlered and antlerless (General),Nov 1,Nov 30
320,Moose,Antlered and antlerless (Archery),Sep 1,Oct 31
320,Moose,Antlered and antlerless (General),Nov 1,Nov 30
